"date","produced","destroyed","mining.value"
2012-06-01,2359716036244.69,970104920933.398,549440097473.859
2012-06-02,2415557999009.63,986386259025.097,716891254893.149
2012-06-03,2282229471128.01,972504769773.109,820140255927.974
2012-06-04,2277706305455.73,747399971108.152,701195402442.855
2012-06-05,2281834094868.32,764850606734.789,697888122052.714
2012-06-06,2339844947278.29,767088965681.143,705015152549.553
2012-06-07,2187164559381.84,739191536896.23,730108205626.61
2012-06-08,2224745586377.76,1132415512129.69,735937463187.977
2012-06-09,2274706621589.61,993744533403.887,818077885108.095
2012-06-10,2615884508626.89,27289146091097.4,975572959598.619
2012-06-11,2541065619287.92,4274299282654.23,776802080986.678
2012-06-12,2257059006342.69,14983385223572,720176710410.695
2012-06-13,2279152581278.34,10105515693665,691010749730.825
2012-06-14,2234495354152.33,719931312310.804,731457829866.963
2012-06-15,2168190447231.28,2692225825933.19,704055025136.294
2012-06-16,2141454056453.94,4777615345455.92,800717638468.893
2012-06-17,2496647498525.07,14890993428252.4,877765725752.726
2012-06-18,2081884743156.05,4222907436791.14,710740210711.805
2012-06-19,2473011862236.07,1589092036687.77,758146772126.326
2012-06-20,2235654970692.63,1818993284491.85,781749293834.032
2012-06-21,2432145283407.23,755008439632.995,725060202576.296
2012-06-22,2394119519029.26,737121870072.753,773375559382.915
2012-06-23,2289557272338.21,872873866280.332,971650514770.013
2012-06-24,2502501779354.95,917929058786.777,948073364202.068
2012-06-25,2190156072835.05,602858595042.978,614622866311.921
2012-06-26,2167329484770.49,639369349039.713,671957382754.308
2012-06-27,2210440822781.95,810716947240.79,707792874369.136
2012-06-28,2230631882073.93,640567880955.814,614057945568.05
2012-06-29,2275930723682.7,825933550989.432,649206979891.667
2012-06-30,2460328005252.85,837657412022.204,806314755639.457
2012-07-01,2449971654604.19,1043223015994.87,863518262700.529
2012-07-02,2052595955299.15,894898112724.125,739269301113.226
2012-07-03,2427641861753.03,913406146344.108,746459030527.947
2012-07-04,2468156781638.52,946093839943.069,773252415412.006
2012-07-05,2456730788505.75,695853078162.831,718740283841.192
2012-07-06,2225412317696.18,774959878968.405,753389003393.73
2012-07-07,2482087584791.67,1119872875620.08,872329089393.717
2012-07-08,2488361048133.96,1040071710241.23,917948352594.866
2012-07-09,2430595061792.69,843175560356.157,685010491920.4
2012-07-10,2211735585412.13,835911193141.381,759837066905.089
2012-07-11,2361647512878.96,898556031605.524,724215067963.479
2012-07-12,2289747719380.83,789840048844.291,721536936381.577
2012-07-13,2236249037257.21,783020307472.602,755360721581.794
2012-07-14,2426267079878.6,936495476789.66,880379230574.334
2012-07-15,2594843239799.67,1114988922131.41,920164018780.396
2012-07-16,2309027529023.12,737211224252.243,714364146839.524
2012-07-17,2366987645080.39,875179742341.165,770745565764.448
2012-07-18,2279532766213.84,736965220848.563,790437394644.869
2012-07-19,2268262294620.89,768693249050.628,764210029961.967
2012-07-20,2379144115906.09,750685922488.793,747309762831.55
2012-07-21,2479485763402.14,945669891233.562,858625741771.482
2012-07-22,2509620533806.76,1089845099884.79,914274018776.6
2012-07-23,2343773637845.37,880403612940.78,741866740717.555
2012-07-24,2453624696395.39,885409776769.442,778306198402.596
2012-07-25,2369345368416.11,796445541276.211,775036219253.397
2012-07-26,2566414588342.25,927387585398.302,750153170591.863
2012-07-27,2408664916243.93,756039250663.656,812226418656.663
2012-07-28,2467765598730.19,1007152366165.57,1149106120758.66
2012-07-29,2647225787926.75,1108544064095.83,1295487499471.59
2012-07-30,2345351358715.18,793998189657.829,938528653069.794
2012-07-31,2755206020224.7,794654397946.582,1086060650098.26
2012-08-01,2541464580715.2,755628102916.369,1042351015888.43
2012-08-02,2685678412241.8,844546878620.623,1187728150455.89
2012-08-03,2380592769799.54,793883178162.812,1683398300496.45
2012-08-04,2820564827626,1079752900690.61,2522011343126.19
2012-08-05,2773774109238.23,939998048678.338,2257999738257.14
2012-08-06,2836779866777.43,848264137772.184,1307957303159.9
2012-08-07,2673691153080.3,871344612515.593,1642743997083.08
2012-08-08,2470385474591.2,724083550506.605,2123707551987.56
2012-08-09,2701970160041.96,697799181913.529,2041094017205.38
2012-08-10,2580907907532.21,885463176609.924,2172330577349.75
2012-08-11,2598993079695.87,1019277430440.93,2942785799309.24
2012-08-12,2437608802781.8,1299387566477.61,3255462046835.08
2012-08-13,2419500685725.05,879465487713.38,2029695023938.69
2012-08-14,2516301884091.34,792722388037.771,3242913098641.08
2012-08-15,2602736211749.99,1245568589160.48,3030041562124.51
2012-08-16,2443441077056.04,858304579216.367,2285273754746.22
2012-08-17,2466111644155.03,804134267088.362,2121267959968.91
2012-08-18,2934106935224.27,1085345262282.33,1701664005078.26
2012-08-19,2740547642806.82,1045869867417.4,2284459565424.33
2012-08-20,2437222450027.5,815872052208.946,2202131793945.51
2012-08-21,2667347014825.72,690971587657.472,2273767892744.78
2012-08-22,2662144858773.06,825872025253.67,1424513838533.08
2012-08-23,2815231249897.74,850037975972.73,2340004965354.79
2012-08-24,2553464730319.4,829598038077.101,1818041546248.85
2012-08-25,2574600070688.53,955231089974.093,2410582533882.36
2012-08-26,2631069599934.16,1253280739378.95,2299882506125.75
2012-08-27,2481301394206.69,727627473302.988,2003695861103.16
2012-08-28,2423036541800.12,781762624573.975,1743436620034.14
2012-08-29,2434767397426.13,683170308916.084,1613278564685.91
2012-08-30,2809063557435.32,784110772853.146,1535750671491.68
2012-08-31,2489043100054.29,832215837635.437,1376936631466.11
2012-09-01,2860515466941.81,1015060688836.1,1739433813799.54
2012-09-02,2660952577808.45,951185605506.088,1494390246164.77
2012-09-03,2570011727516.44,810597557055.47,1291937344676.47
2012-09-04,2789134041666.42,673857448838.881,1133470654111.16
2012-09-05,2623915967679.29,717037269799.671,1334608535362.19
2012-09-06,3046494108540.39,618220192072.982,1336417995642.9
2012-09-07,3469063633165.93,696259989705.791,1000434470491.04
2012-09-08,2310334134946.4,928364586983.774,1044246577346.69
2012-09-09,2453713023753.39,1353386990696.08,1107379991880.79
2012-09-10,2369156943128.02,695252550609.144,852558119074.681
2012-09-11,2258676921391.53,804671747938.478,896012194449.4
2012-09-12,2404479438462.9,725317625416.196,930778055689.844
2012-09-13,2521782564908.64,695455046957.658,925626575456.828
2012-09-14,2434502584538.86,832014193880.713,915573496761.071
2012-09-15,2649137806021.5,1241763837971.35,948482483305.362
2012-09-16,2478810269606.43,1106862557949.09,1066704705115.43
2012-09-17,2523179394611.66,693432613310.884,831652118907.038
2012-09-18,2360447545140.24,704238035922.637,1048353242372.7
2012-09-19,2438816621304.96,650137281309.443,917658957550.248
2012-09-20,2223457231281.67,827884468252.658,956415956420.78
2012-09-21,2400164473255.22,833834766982.753,791311055765.106
2012-09-22,2585850302341.76,866227264153.46,889688602433.843
2012-09-23,2685990407384.16,1060720215674.84,1123766831712.92
2012-09-24,2501078965357.65,689198672324.066,863139453705.355
2012-09-25,2275309969754.77,665111831650.118,835460214822.517
2012-09-26,2680735059073.26,841028707775.947,752166124443.852
2012-09-27,2464550759594.03,746160453760.446,814541086085.852
2012-09-28,2262731436688.55,703246849603.986,734350600609.442
2012-09-29,2763114834090.58,1002018511150.94,883383648192.164
2012-09-30,2476160551037.33,1045552504059.75,1000863904716.98
2012-10-01,2289966625043.53,708562438663.687,715620707819.174
2012-10-02,2440246098455.61,846513467927.25,1090899814975.96
2012-10-03,2224860370604.84,798513269746.639,809992426081.207
2012-10-04,2410895731321.49,739710914942.241,777793196853.768
2012-10-05,2266732103888.32,887283108378.361,742572294738.98
2012-10-06,2305734460408.08,1130907556703.55,1012875754386.65
2012-10-07,2769704906649.12,1239174025493.31,994546650815.891
2012-10-08,2582932667073.66,774750364225.405,798367859776.768
2012-10-09,2357730332492.98,770516303709.191,980468770751.501
2012-10-10,2428324964791.06,931194362561.726,825265926511.413
2012-10-11,2634668067007.15,763109907749.725,756512212550.659
2012-10-12,2453467155744.37,854132740150.902,907484887436.352
2012-10-13,2664729969632.35,1054592886362.3,1028522633412.32
2012-10-14,2549646535972.94,1035408851297.48,1134788877113.66
2012-10-15,2597889197450.08,881547018873.14,890071211499.542
2012-10-16,2406775420279.24,625165549827.353,612361548778.641
2012-10-17,2329752319949.51,753317916637.487,893007236109.324
2012-10-18,2312753138450.3,656589717000.778,971242730375.41
2012-10-19,2575430578799.77,705751620215.704,764386655168.921
